pool,base_agg,delta_agg,gate,n,pool_size,pool_support_mean,gate_active_q2s3,gate_weight_q2s3_mean,strict_gate,deployable_gate,loose_gate,all_margin_vs_mixmin,best_all_delta_vs_mixmin,best_all_minus_base,best_worst_set_delta,best_sets_beating_base,best_sets_tail_neutral,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate
top50_heldout_mean,mean,median,s3_only,6,50,1.84,0.5,0.5,0,0,1,0,-9.786865651006948e-06,-4.985998176221251e-06,8.651161479522607e-06,3,3,-0.0001078538955555236,-3.9708557894263617e-05,0.7222222222222222
top50_heldout_mean,mean,weighted_mean,top_abs50,6,50,1.84,0.166,0.166,0,0,1,0,-9.760011341564123e-06,-4.959143866778426e-06,7.586354213606761e-06,3,3,-0.00033108047124962015,-0.00024873546414121974,0.75
all_unique,mean,signed_p75,none,6,104,1.4903846153846154,1.0,1.0,0,0,1,0,-9.747066511023306e-06,-4.85377218228944e-06,7.446229231655721e-06,3,3,-0.00024174829774502998,-0.00020790758764789303,0.8333333333333334
top50_heldout_mean,mean,mean,s3_agree55,6,50,1.84,0.104,0.104,0,0,1,0,-9.708250750639635e-06,-4.907383275853938e-06,8.496597790119687e-06,3,3,-0.00012419568500605244,-5.138379630627581e-05,0.6944444444444444
top50_heldout_mean,median,weighted_mean,top_abs50,6,50,1.84,0.166,0.166,0,0,1,0,-9.634088750543057e-06,-4.97473777727464e-06,6.9737517902623836e-06,3,3,-0.00033108047124959933,-0.00024860135289377907,0.75
high_block,mean,signed_p75,agree55,6,47,1.7659574468085106,0.252,0.252,0,0,1,0,-9.612245606249736e-06,-4.853835744889068e-06,9.255782280614966e-06,3,3,-0.00033246908389218677,-0.00028822124642932656,0.8333333333333334
all_unique,median,median,s3_only,6,104,1.4903846153846154,0.5,0.5,0,0,1,0,-9.601361806388375e-06,-4.898980942025233e-06,7.656305913039674e-06,3,3,-0.00012344511235590216,-5.7066376112147e-05,0.6111111111111112
support2_high_block,mean,signed_p75,top_abs50,6,36,2.0,0.144,0.144,0,0,1,0,-9.579235759060722e-06,-4.82246494415417e-06,9.032408257447777e-06,3,3,-0.000281302884587116,-0.00019080706465863227,0.7222222222222222
high_block,mean,weighted_mean,agree55,6,47,1.7659574468085106,0.252,0.252,0,0,1,0,-9.549707642331207e-06,-4.791297780970538e-06,9.480298494901618e-06,3,3,-0.000269642439547621,-0.00022273396636027774,0.8333333333333334
support2,mean,signed_p75,top_abs50,6,51,2.0,0.142,0.142,0,0,1,0,-9.543026914471398e-06,-4.7973507730780796e-06,7.60925713683136e-06,3,3,-0.0003566804813173313,-0.00026553559576592565,0.6944444444444444
high_block,mean,mean,agree55,6,47,1.7659574468085106,0.252,0.252,0,0,1,0,-9.542155011144082e-06,-4.783745149783414e-06,9.480201245026798e-06,3,3,-0.0002521232065829729,-0.00021043266585906144,0.8333333333333334
all_unique,median,signed_p75,none,6,104,1.4903846153846154,1.0,1.0,0,0,1,0,-9.539413623693704e-06,-4.837032759330562e-06,7.097594741711788e-06,3,3,-0.00024174829774502304,-0.0002066855507923738,0.8333333333333334
support2_top50,mean,signed_p75,top_abs50,6,50,2.0,0.142,0.142,0,0,1,0,-9.5387347046616e-06,-4.792173421530599e-06,7.62667204168288e-06,3,3,-0.00036128756874383855,-0.00027040114459150346,0.6944444444444444
top50_heldout_mean,mean,mean,agree55,6,50,1.84,0.226,0.226,0,0,1,0,-9.528022711480233e-06,-4.727155236694536e-06,8.1327894499994e-06,3,3,-0.00030130739066674267,-0.00023608760662847126,0.7777777777777778
top50_heldout_mean,median,mean,s3_agree55,6,50,1.84,0.104,0.104,0,0,1,0,-9.524768047497467e-06,-4.86541707422905e-06,7.854649657135226e-06,3,3,-0.0001241956850060455,-5.296386743866566e-05,0.6944444444444444
support2_high_block,mean,weighted_mean,agree55,6,36,2.0,0.252,0.252,0,0,1,0,-9.52127750941667e-06,-4.764506694510118e-06,9.501339358397587e-06,3,3,-0.00026492774784129397,-0.0002145369767043658,0.8333333333333334
support2_high_block,mean,signed_p75,agree55,6,36,2.0,0.252,0.252,0,0,1,0,-9.512497519459373e-06,-4.755726704552821e-06,9.394633680215314e-06,3,3,-0.0003187902175519203,-0.0002659492682072328,0.8333333333333334
support2_high_block,mean,mean,agree55,6,36,2.0,0.252,0.252,0,0,1,0,-9.509404928831344e-06,-4.752634113924792e-06,9.532365067732584e-06,3,3,-0.0002436937058838337,-0.00019536388948672152,0.8333333333333334
high_block,mean,signed_p75,soft_agree_top50,6,47,1.7659574468085106,0.146,0.1397872340425532,0,0,1,0,-9.49912252456997e-06,-4.740712663209301e-06,8.911125734645253e-06,3,3,-0.00028179253343138533,-0.00022916476443914915,0.7222222222222222
high_block,mean,median,agree55,6,47,1.7659574468085106,0.252,0.252,0,0,1,0,-9.493879836952601e-06,-4.735469975591933e-06,9.454465249025823e-06,3,3,-0.00022991600607263907,-0.00018369911104456054,0.8333333333333334
high_block,mean,median,none,6,47,1.7659574468085106,1.0,1.0,0,0,1,0,-9.493879836952601e-06,-4.735469975591933e-06,9.454465249025823e-06,3,3,-0.00022991600607263907,-0.00018369911104456054,0.8333333333333334
support2_top50,mean,mean,s3_agree55,6,50,2.0,0.102,0.102,0,0,1,0,-9.481529120058951e-06,-4.73496783692795e-06,8.411093474602893e-06,3,3,-0.00011404495199821701,-4.924114148738843e-05,0.6666666666666666
all_unique,median,weighted_mean,none,6,104,1.4903846153846154,1.0,1.0,0,0,1,0,-9.475550836746116e-06,-4.7731699723829735e-06,6.77065938847754e-06,3,3,-0.0003473003409869488,-0.00028917463916068305,0.8333333333333334
support2,median,signed_p75,top_abs50,6,51,2.0,0.142,0.142,0,0,1,0,-9.473329587228463e-06,-4.86330616811248e-06,7.055912043307799e-06,3,3,-0.0003566804813172897,-0.00026609163959956383,0.6944444444444444
support2,mean,mean,s3_agree55,6,51,2.0,0.102,0.102,0,0,1,0,-9.471611007505487e-06,-4.725934866112169e-06,8.415790435312154e-06,3,3,-0.00011283565919038147,-4.873003491697716e-05,0.6666666666666666
translator_tail_soft_p90_m1.00,mean,median,none,6,25,1.36,1.0,1.0,0,0,1,0,-9.459259059485525e-06,-4.505675085142435e-06,8.797883171762777e-06,3,1,-0.0003309365869856584,-0.0002802656474140796,0.8333333333333334
support2_high_block,median,signed_p75,top_abs50,6,36,2.0,0.144,0.144,0,0,1,0,-9.4420511833615e-06,-4.871701302366915e-06,8.082353150085098e-06,3,3,-0.00028130288458710906,-0.00019375424389094778,0.7222222222222222
high_block,mean,signed_p75,soft_signed,6,47,1.7659574468085106,0.252,0.2408085106382979,0,0,1,0,-9.439684278245153e-06,-4.6812744168844844e-06,9.297773377658913e-06,3,3,-0.0003283898510753197,-0.00028501758646007347,0.8333333333333334
support2_top50,median,signed_p75,top_abs50,6,50,2.0,0.142,0.142,0,0,1,0,-9.43803068043092e-06,-4.844552643490374e-06,7.087595341404018e-06,3,3,-0.00036128756874382467,-0.00027069554436555117,0.6944444444444444
top50_heldout_mean,median,mean,agree55,6,50,1.84,0.226,0.226,0,0,1,0,-9.434383685613668e-06,-4.775032712345251e-06,7.490862161674272e-06,3,3,-0.000301307390666708,-0.00023649740198532503,0.7777777777777778
top50_heldout_mean,mean,signed_p75,top_abs50,6,50,1.84,0.136,0.136,0,0,1,0,-9.426863015082887e-06,-4.62599554029719e-06,7.655842642728672e-06,3,3,-0.00038982783253996983,-0.0003066338585812178,0.6666666666666666
all_unique,mean,weighted_mean,top_abs50,6,104,1.4903846153846154,0.166,0.166,0,0,1,0,-9.41704504731078e-06,-4.523750718576913e-06,7.025771272761716e-06,3,3,-0.0003245445064233021,-0.00026051684201788827,0.75
high_block,median,signed_p75,agree55,6,47,1.7659574468085106,0.252,0.252,0,0,1,0,-9.414803175622488e-06,-4.851922463688929e-06,8.34085343748292e-06,3,3,-0.00033246908389216595,-0.0002891484968627234,0.8333333333333334
high_block,mean,weighted_mean,soft_agree_top50,6,47,1.7659574468085106,0.156,0.1497872340425532,0,0,1,0,-9.40645460478784e-06,-4.648044743427171e-06,9.21675130771682e-06,3,3,-0.0002403975346642953,-0.00018932236106352068,0.7222222222222222
top50_heldout_mean,mean,weighted_mean,s3_agree55,6,50,1.84,0.104,0.104,0,0,1,0,-9.398064777510484e-06,-4.597197302724787e-06,8.311084249812417e-06,3,3,-0.0001461335657518617,-5.813767774529022e-05,0.6944444444444444
support2_top50,mean,median,none,6,50,2.0,1.0,1.0,0,0,1,0,-9.39174873360038e-06,-4.645187450469379e-06,8.448513349468278e-06,3,3,-0.00023618231223943714,-0.00016265026691588704,0.8055555555555556
support2_high_block,median,weighted_mean,agree55,6,36,2.0,0.252,0.252,0,0,1,0,-9.370108786987963e-06,-4.799758905993379e-06,8.502581735903014e-06,3,3,-0.0002649277478412593,-0.00021733830347047127,0.8333333333333334
high_block,mean,mean,soft_signed,6,47,1.7659574468085106,0.252,0.2408085106382979,0,0,1,0,-9.358775609924486e-06,-4.600365748563817e-06,9.51708873198065e-06,3,3,-0.0002494325013785853,-0.00020890732458395123,0.8333333333333334
high_block,mean,median,soft_signed,6,47,1.7659574468085106,0.252,0.2408085106382979,0,0,1,0,-9.357637382856332e-06,-4.5992275214956635e-06,9.497617008524806e-06,3,3,-0.00022732463062412334,-0.00018375354999899387,0.8333333333333334
support2_high_block,median,mean,agree55,6,36,2.0,0.252,0.252,0,0,1,0,-9.355927666154784e-06,-4.7855777851602e-06,8.533620979300771e-06,3,3,-0.00024369370588380596,-0.00019816521625281571,0.8333333333333334
high_block,mean,weighted_mean,soft_signed,6,47,1.7659574468085106,0.252,0.2408085106382979,0,0,1,0,-9.35563975068554e-06,-4.597229889324872e-06,9.513429262364426e-06,3,3,-0.00026624483395488313,-0.00022070243654859754,0.8333333333333334
high_block,median,weighted_mean,agree55,6,47,1.7659574468085106,0.252,0.252,0,0,1,0,-9.354065027888936e-06,-4.791184315955377e-06,8.554242641012344e-06,3,3,-0.00026964243954759326,-0.0002239843235684047,0.8333333333333334
high_block,median,mean,agree55,6,47,1.7659574468085106,0.252,0.252,0,0,1,0,-9.344388682275273e-06,-4.781507970341714e-06,8.549944534141929e-06,3,3,-0.00025212320658295206,-0.00021124552302917996,0.8333333333333334
support2,mean,median,none,6,51,2.0,1.0,1.0,0,0,1,0,-9.334904674029865e-06,-4.589228532636547e-06,8.451777028573026e-06,3,3,-0.00023385951290563756,-0.0001619807383365702,0.8055555555555556
top50_heldout_mean,median,signed_p75,top_abs50,6,50,1.84,0.136,0.136,0,0,1,0,-9.33042073569812e-06,-4.671069762429703e-06,7.013768334340753e-06,3,3,-0.000389827832539949,-0.00030689706083061874,0.6666666666666666
translator_tail_soft_p90_m0.50,mean,median,none,6,13,1.4615384615384615,1.0,1.0,0,0,1,0,-9.328532254215816e-06,-4.562999801560608e-06,1.0735442328768663e-05,3,3,-0.0003241501756812773,-0.0002784884210221884,0.8333333333333334
support2_high_block,mean,median,agree55,6,36,2.0,0.252,0.252,0,0,1,0,-9.319114369854553e-06,-4.562343554948001e-06,9.623416313164768e-06,3,3,-0.0002105427944108368,-0.0001546878204503055,0.8333333333333334
support2_high_block,mean,median,none,6,36,2.0,1.0,1.0,0,0,1,0,-9.319114369854553e-06,-4.562343554948001e-06,9.623416313164768e-06,3,3,-0.0002105427944108368,-0.0001546878204503055,0.8333333333333334
high_block,median,median,agree55,6,47,1.7659574468085106,0.252,0.252,0,0,1,0,-9.31793495229094e-06,-4.7550542403573814e-06,8.531930175026403e-06,3,3,-0.00022991600607261825,-0.00018441297598749688,0.8333333333333334
high_block,median,median,none,6,47,1.7659574468085106,1.0,1.0,0,0,1,0,-9.31793495229094e-06,-4.7550542403573814e-06,8.531930175026403e-06,3,3,-0.00022991600607261825,-0.00018441297598749688,0.8333333333333334
top50_heldout_mean,mean,median,none,6,50,1.84,1.0,1.0,0,0,1,0,-9.315025301992463e-06,-4.514157827206766e-06,8.431935787034384e-06,3,3,-0.00026635570666545816,-0.00018689281322218916,0.8055555555555556
translator_tail_soft_p90_m0.50,mean,signed_p75,soft_signed,6,13,1.4615384615384615,0.252,0.23338461538461536,0,0,1,0,-9.295940241793588e-06,-4.53040778913838e-06,1.075856152055188e-05,3,3,-0.00032742497841856816,-0.00028581664972674456,0.8333333333333334
support2_top50,median,median,none,6,50,2.0,1.0,1.0,0,0,1,0,-9.294832750583737e-06,-4.701354713643191e-06,7.909596205557534e-06,3,3,-0.00023618231223941633,-0.00016386682127684789,0.8055555555555556
high_block,mean,signed_p75,soft_signed_sq,6,47,1.7659574468085106,0.252,0.2336541421457673,0,0,1,0,-9.283282242700253e-06,-4.524872381339584e-06,9.340874299268442e-06,3,3,-0.00032640529125691625,-0.0002831336012639185,0.8333333333333334
top50_heldout_mean,median,weighted_mean,s3_agree55,6,50,1.84,0.104,0.104,0,0,1,0,-9.27461509447891e-06,-4.615264121210494e-06,7.669080502759051e-06,3,3,-0.00014613356575186864,-6.0134230691960425e-05,0.6944444444444444
high_block,median,signed_p75,soft_signed,6,47,1.7659574468085106,0.252,0.2408085106382979,0,0,1,0,-9.260730107540915e-06,-4.697849395607356e-06,8.382584197552667e-06,3,3,-0.0003283898510753336,-0.0002859448368936646,0.8333333333333334
support2,median,median,none,6,51,2.0,1.0,1.0,0,0,1,0,-9.26048409910507e-06,-4.650460679989088e-06,7.898593751165528e-06,3,3,-0.00023385951290562368,-0.000163669286516055,0.8055555555555556
top50_heldout_mean,mean,weighted_mean,agree55,6,50,1.84,0.226,0.226,0,0,1,0,-9.255259216023326e-06,-4.454391741237629e-06,7.934400818365717e-06,3,3,-0.0003372383932789061,-0.0002651017184144677,0.7777777777777778
top50_heldout_mean,mean,median,agree55,6,50,1.84,0.226,0.226,0,0,1,0,-9.248221517044186e-06,-4.447354042258489e-06,8.423167945137422e-06,3,3,-0.0002644612940784219,-0.00018646788967540675,0.7777777777777778
support2_top50,median,mean,agree55,6,50,2.0,0.224,0.224,0,0,1,0,-9.233756069315646e-06,-4.6402780323751e-06,7.493581163031671e-06,3,3,-0.0002783788907579285,-0.00022095148375592664,0.7777777777777778
support2_high_block,mean,mean,soft_signed,6,36,2.0,0.252,0.2371111111111111,0,0,1,0,-9.229704136637373e-06,-4.472933321730821e-06,9.6161864372446e-06,3,3,-0.00024364955717251502,-0.00019359443093396327,0.8333333333333334
support2_high_block,mean,weighted_mean,soft_agree_top50,6,36,2.0,0.156,0.14755555555555555,0,0,1,0,-9.225396101264494e-06,-4.468625286357941e-06,9.358156362604397e-06,3,3,-0.0002389251473562809,-0.0001839470056562043,0.7222222222222222
high_block,mean,median,soft_signed_sq,6,47,1.7659574468085106,0.252,0.2336541421457673,0,0,1,0,-9.221371380596644e-06,-4.462961519235975e-06,9.535808385252587e-06,3,3,-0.00022609853586522122,-0.00018389816977689138,0.8333333333333334
support2,mean,weighted_mean,s3_agree55,6,51,2.0,0.102,0.102,0,0,1,0,-9.217774175951376e-06,-4.4720980345580585e-06,8.25807753923602e-06,3,3,-0.0001345790262671856,-5.673484269673175e-05,0.6666666666666666
support2_high_block,mean,mean,soft_agree_top50,6,36,2.0,0.156,0.14755555555555555,0,0,1,0,-9.211461536873244e-06,-4.454690721966692e-06,9.37670047074235e-06,3,3,-0.00022054991193803247,-0.00016817152710450474,0.7222222222222222
translator_tail_soft_p90_m0.50,mean,median,agree55,6,13,1.4615384615384615,0.244,0.244,0,0,1,0,-9.211443113055218e-06,-4.44591066040001e-06,1.0677312601625744e-05,3,3,-0.0003158176154251305,-0.0002741604229902939,0.8055555555555556
translator_tail_soft_p90_m1.00,median,median,none,6,25,1.36,1.0,1.0,0,0,1,0,-9.209134134491315e-06,-4.590019669903356e-06,7.760911428511541e-06,3,1,-0.00033093658698564454,-0.00028009323868273257,0.8333333333333334
all_unique,median,weighted_mean,top_abs50,6,104,1.4903846153846154,0.166,0.166,0,0,1,0,-9.208988200670731e-06,-4.506607336307589e-06,6.677085723771903e-06,3,3,-0.0003245445064232952,-0.0002608972078647631,0.75
support2_top50,mean,weighted_mean,s3_agree55,6,50,2.0,0.102,0.102,0,0,1,0,-9.20636194345903e-06,-4.459800660328028e-06,8.255959874525765e-06,3,3,-0.00013541464805216785,-5.710124579986781e-05,0.6666666666666666
high_block,mean,mean,soft_signed_sq,6,47,1.7659574468085106,0.252,0.2336541421457673,0,0,1,0,-9.2008665364407e-06,-4.442456675080031e-06,9.549456091884068e-06,3,3,-0.0002481227675194264,-0.000207962787758914,0.8333333333333334
high_block,mean,median,soft_agree_top50,6,47,1.7659574468085106,0.126,0.12251063829787233,0,0,1,0,-9.197688106477031e-06,-4.439278245116363e-06,9.203299694449107e-06,3,3,-0.0002775857417682062,-0.0001920452836717988,0.6666666666666666
high_block,mean,weighted_mean,soft_signed_sq,6,47,1.7659574468085106,0.252,0.2336541421457673,0,0,1,0,-9.186680528294744e-06,-4.4282706669340755e-06,9.54421882215506e-06,3,3,-0.00026460703633983396,-0.0002195442800777658,0.8333333333333334
top75_heldout_mean,mean,median,none,6,75,1.64,1.0,1.0,0,0,1,0,-9.184888816626824e-06,-4.293035183788874e-06,8.22775797493236e-06,3,3,-0.00024923635932439653,-0.0001841981579900065,0.7777777777777778
top50_heldout_mean,median,median,none,6,50,1.84,1.0,1.0,0,0,1,0,-9.180711965206534e-06,-4.521360991938117e-06,7.789519220313679e-06,3,3,-0.0002663557066654651,-0.00018739638638535778,0.8055555555555556
top50_heldout_mean,median,median,soft_signed_sq,6,50,1.84,0.226,0.16083519999999996,0,0,1,0,-9.165076647388304e-06,-4.505725674119887e-06,7.444783168830682e-06,3,3,-0.00031136364708087005,-0.00023037545672400226,0.7777777777777778
high_block,median,mean,soft_signed,6,47,1.7659574468085106,0.252,0.2408085106382979,0,0,1,0,-9.16067057399328e-06,-4.59778986205972e-06,8.586552889489063e-06,3,3,-0.0002494325013785645,-0.00020967990284693756,0.8333333333333334
high_block,median,weighted_mean,soft_signed,6,47,1.7659574468085106,0.252,0.2408085106382979,0,0,1,0,-9.156074796790037e-06,-4.593194084856478e-06,8.587042273577872e-06,3,3,-0.00026624483395489007,-0.0002219596284142257,0.8333333333333334
support2_top50,mean,median,soft_signed,6,50,2.0,0.234,0.18727999999999997,0,0,1,0,-9.154006025080541e-06,-4.40744474194954e-06,8.314527584873943e-06,3,3,-0.00029698861290842343,-0.00021839971984126145,0.8055555555555556
high_block,median,median,top_abs50,6,47,1.7659574468085106,0.126,0.126,0,0,1,0,-9.14849759503511e-06,-4.585616883101551e-06,8.206531261767402e-06,3,3,-0.0002780514734906786,-0.00018887935477183157,0.6666666666666666
top50_heldout_mean,median,weighted_mean,agree55,6,50,1.84,0.226,0.226,0,0,1,0,-9.14528535966852e-06,-4.485934386400103e-06,7.292428040983623e-06,3,3,-0.0003372383932789269,-0.00026587060346556775,0.7777777777777778
support2,mean,weighted_mean,agree55,6,51,2.0,0.224,0.224,0,0,1,0,-9.144251391868252e-06,-4.398575250474934e-06,7.887350714441688e-06,3,3,-0.00031722607002037523,-0.00025339431906730154,0.7777777777777778
support2_top50,mean,weighted_mean,agree55,6,50,2.0,0.224,0.224,0,0,1,0,-9.138644125217255e-06,-4.3920828420862534e-06,7.885825102582622e-06,3,3,-0.00031882798350234276,-0.0002546563598456288,0.7777777777777778
support2,mean,median,soft_signed,6,51,2.0,0.234,0.19070588235294123,0,0,1,0,-9.107928647278385e-06,-4.362252505885067e-06,8.356539811682495e-06,3,3,-0.0002987046461609827,-0.00022133320099235188,0.8055555555555556
high_block,median,signed_p75,soft_signed_sq,6,47,1.7659574468085106,0.252,0.2336541421457673,0,0,1,0,-9.10617664029445e-06,-4.543295928360891e-06,8.424967673392736e-06,3,3,-0.00032640529125688156,-0.00028388101107323384,0.8333333333333334
support2_high_block,median,weighted_mean,soft_agree_top50,6,36,2.0,0.156,0.14755555555555555,0,0,1,0,-9.104047448804664e-06,-4.53369756781008e-06,8.375208133126755e-06,3,3,-0.00023892514735626702,-0.0001867483324221042,0.7222222222222222
top50_heldout_mean,median,median,agree55,6,50,1.84,0.226,0.226,0,0,1,0,-9.103988572567445e-06,-4.444637599299028e-06,7.780753227604187e-06,3,3,-0.00026446129407842883,-0.00018699858160399203,0.7777777777777778
support2,median,weighted_mean,s3_agree55,6,51,2.0,0.102,0.102,0,0,1,0,-9.10227855366319e-06,-4.492255134547207e-06,7.704791682994205e-06,3,3,-0.00013457902626715784,-5.859304730899137e-05,0.6666666666666666
support2_top50,median,weighted_mean,s3_agree55,6,50,2.0,0.102,0.102,0,0,1,0,-9.089900971370746e-06,-4.4964229344302e-06,7.7169297536539e-06,3,3,-0.0001354146480521748,-5.890835151169376e-05,0.6666666666666666
support2,median,weighted_mean,agree55,6,51,2.0,0.224,0.224,0,0,1,0,-9.07229448710023e-06,-4.462271067984247e-06,7.3340876820537915e-06,3,3,-0.00031722607002034747,-0.00025507716181208395,0.7777777777777778
support2_top50,median,median,soft_signed,6,50,2.0,0.234,0.18727999999999997,0,0,1,0,-9.063524384234078e-06,-4.4700463472935326e-06,7.776168587603216e-06,3,3,-0.0002969886129084026,-0.00022013576023651154,0.8055555555555556
support2,mean,median,soft_signed_sq,6,51,2.0,0.234,0.1644206074586698,0,0,1,0,-9.054653206108654e-06,-4.308977064715336e-06,8.166400212172853e-06,3,3,-0.00026944819977500756,-0.00020099771931509367,0.8055555555555556
support2_top50,median,weighted_mean,agree55,6,50,2.0,0.224,0.224,0,0,1,0,-9.047223120450809e-06,-4.453745083510263e-06,7.346826151222174e-06,3,3,-0.0003188279835023497,-0.0002558729142065064,0.7777777777777778
translator_tail_soft_p90_m0.50,mean,signed_p75,soft_signed_sq,6,13,1.4615384615384615,0.252,0.2268757396449704,0,0,1,0,-9.046972573645284e-06,-4.2814401209900765e-06,1.0869083272302404e-05,3,3,-0.0003260604495371744,-0.0002845644608514275,0.8333333333333334
high_block,median,median,soft_agree_top50,6,47,1.7659574468085106,0.126,0.12251063829787233,0,0,1,0,-9.038019196050406e-06,-4.475138484116847e-06,8.296444415134552e-06,3,3,-0.00027758574176821316,-0.00019316116323025447,0.6666666666666666
support2,median,median,soft_signed,6,51,2.0,0.234,0.19070588235294123,0,0,1,0,-9.029490094514259e-06,-4.419466675398276e-06,7.805193672050237e-06,3,3,-0.0002987046461609341,-0.00022331586361915012,0.8055555555555556
top75_heldout_mean,median,median,none,6,75,1.64,1.0,1.0,0,0,1,0,-9.019397104292892e-06,-4.346346282879665e-06,7.772805382555426e-06,3,3,-0.00024923635932432714,-0.0001834961776512158,0.7777777777777778
translator_tail_soft_p90_m1.00,mean,weighted_mean,soft_agree_top50,6,25,1.36,0.154,0.13928000000000001,0,0,1,0,-9.015225866160215e-06,-4.061641891817125e-06,8.448768803681617e-06,3,3,-0.0003106229700325924,-0.0002658643648459414,0.7222222222222222
support2_high_block,mean,signed_p75,soft_agree_top50,6,36,2.0,0.132,0.12533333333333332,0,0,1,0,-9.014811562457758e-06,-4.258040747551206e-06,9.323636639080313e-06,3,3,-0.00026689912364807195,-0.00019054662124993733,0.6944444444444444
top75_heldout_mean,median,median,soft_signed,6,75,1.64,0.224,0.16269333333333333,0,0,1,0,-8.990401321518071e-06,-4.317350500104844e-06,7.486934863187855e-06,3,3,-0.00030221992990762253,-0.00023072743110530989,0.7777777777777778
high_block,median,weighted_mean,soft_signed_sq,6,47,1.7659574468085106,0.252,0.2336541421457673,0,0,1,0,-8.988932253983783e-06,-4.4260515420502244e-06,8.617321106241249e-06,3,3,-0.0002646070363398201,-0.0002207670612746793,0.8333333333333334
translator_tail_soft_p90_m0.50,mean,median,soft_signed,6,13,1.4615384615384615,0.252,0.23338461538461536,0,0,1,0,-8.987842105123711e-06,-4.222309652468503e-06,1.085042351578469e-05,3,3,-0.00031752196940158794,-0.00027687483557907737,0.8333333333333334
translator_tail_soft_p90_m0.50,median,signed_p75,agree55,6,13,1.4615384615384615,0.244,0.244,0,0,1,0,-8.986743428973654e-06,-4.759050437730394e-06,1.2799816374586825e-05,3,3,-0.00032496350909810845,-0.0002861867680389095,0.8055555555555556
top50_heldout_mean,mean,weighted_mean,soft_signed,6,50,1.84,0.226,0.18887999999999996,0,0,1,0,-8.983850880550648e-06,-4.182983405764951e-06,7.954179423230734e-06,3,3,-0.0003046925367538311,-0.0002504316519411076,0.7777777777777778
support2,median,median,soft_signed_sq,6,51,2.0,0.234,0.1644206074586698,0,0,1,0,-8.981490269066583e-06,-4.3714668499506e-06,7.613611111567664e-06,3,3,-0.00026944819977493123,-0.00020268097226405226,0.8055555555555556
translator_tail_soft_p90_m0.50,mean,weighted_mean,soft_signed,6,13,1.4615384615384615,0.252,0.23338461538461536,0,0,1,0,-8.964517298704067e-06,-4.198984846048859e-06,1.0858243172706672e-05,3,3,-0.0002896792797232872,-0.0002533193882737761,0.8333333333333334
top50_heldout_mean,mean,median,top_abs50,6,50,1.84,0.118,0.118,0,0,1,0,-8.926992452251703e-06,-4.126124977466006e-06,8.37479602444624e-06,3,3,-0.00023755505432260238,-0.00015124753448982889,0.6111111111111112
top50_heldout_mean,median,median,soft_agree_top50,6,50,1.84,0.118,0.10119999999999998,0,0,1,0,-8.924707449953218e-06,-4.265356476684801e-06,7.565425200306564e-06,3,3,-0.00031332688155425586,-0.0002094975202899807,0.6111111111111112
translator_tail_soft_p90_m1.00,mean,median,soft_signed,6,25,1.36,0.244,0.2228,0,0,1,0,-8.916514816048604e-06,-3.962930841705514e-06,8.941386971383913e-06,3,1,-0.0003110058247202188,-0.00027418362687756104,0.8333333333333334
all_unique,mean,median,agree55,6,104,1.4903846153846154,0.212,0.212,0,0,1,0,-8.899000375262034e-06,-4.005706046528168e-06,8.007623379158169e-06,3,3,-0.0002271269673504786,-0.00018160279149794238,0.75
support2_top50,mean,median,soft_agree_top50,6,50,2.0,0.12,0.0996,0,0,1,0,-8.888942737428351e-06,-4.14238145429735e-06,8.202618114960814e-06,3,3,-0.00026548451602077805,-0.0001797971012981903,0.6111111111111112
top75_heldout_mean,mean,median,soft_agree_top50,6,75,1.64,0.112,0.08813333333333333,0,0,1,0,-8.885887809784165e-06,-3.994034176946215e-06,7.887316973431702e-06,3,3,-0.00027470542775748924,-0.00019605907663181044,0.6111111111111112
top75_heldout_mean,mean,mean,agree55,6,75,1.64,0.214,0.214,0,0,1,0,-8.879285581464558e-06,-3.9874319486266074e-06,8.060404320109349e-06,3,3,-0.0002830048751904582,-0.0002517529136139619,0.7777777777777778
top50_heldout_mean,median,weighted_mean,soft_signed,6,50,1.84,0.226,0.18887999999999996,0,0,1,0,-8.87187951836843e-06,-4.212528545100014e-06,7.312214460264421e-06,3,3,-0.0003046925367538311,-0.00025125045225265477,0.7777777777777778
top50_heldout_mean,mean,signed_p75,soft_signed,6,50,1.84,0.226,0.18887999999999996,0,0,1,0,-8.865598329022006e-06,-4.064730854236309e-06,8.204084122165334e-06,3,3,-0.000386989063448806,-0.00032863949744791894,0.7777777777777778
translator_tail_soft_p90_m1.00,mean,median,soft_signed_sq,6,25,1.36,0.244,0.22033599999999998,0,0,1,0,-8.861732755716112e-06,-3.908148781373022e-06,8.946939000886722e-06,3,1,-0.000309272820849589,-0.0002733224862954077,0.8333333333333334
translator_tail_soft_p90_m0.50,mean,mean,soft_signed,6,13,1.4615384615384615,0.252,0.23338461538461536,0,0,1,0,-8.861274471305691e-06,-4.095742018650483e-06,1.0889815904580047e-05,3,3,-0.00028583231240392193,-0.000252529007548924,0.8333333333333334
top50_heldout_mean,mean,weighted_mean,soft_agree_top50,6,50,1.84,0.144,0.12327999999999999,0,0,1,0,-8.860279974154395e-06,-4.0594124993686975e-06,7.913764387135203e-06,3,3,-0.0002886542524254687,-0.00023078024243381465,0.6666666666666666
